year,state,Auto,Bus,Truck,Motorcycle
2002,Montana,466043,2841,587259,29748
2002,Nebraska,841430,6456,807717,25349
2002,Nevada,650178,1834,600867,35898
2002,New Hampshire,681842,1796,459593,57389
2002,New Jersey,4502809,22483,2162626,134034
2002,New Mexico,715474,3545,819265,34467
2002,New York,7924325,58733,2472639,142790
2002,North Carolina,3687139,31518,2430817,91063
2002,North Dakota,348075,2438,347911,17865
2002,Ohio,6553274,39294,3877151,271112
2002,Oklahoma,1621817,17253,1431884,66838
2002,Oregon,1559986,13603,1495721,74453
2002,Pennsylvania,6072248,36515,3416234,249916
2002,Rhode Island,538771,1769,235185,23009
2002,South Carolina,1959711,17046,1225345,62726
2002,South Dakota,389260,2678,421970,33935
2002,Tennessee,2805063,16948,1954509,84334
2002,Texas,7808911,81999,6773418,234922
2002,Utah,968327,1273,877573,41421
2002,Vermont,298388,2145,236613,26527
2002,Virginia,4011475,18022,2243339,70139
2002,Washington,2979789,9893,2346644,134212
2002,West Virginia,782397,3038,677548,30868
2002,Wisconsin,2586648,14510,1956042,204732
2002,Wyoming,220408,2869,379658,24791
2003,Alabama,1770924,8964,2549357,70859
2003,Alaska,260999,2306,373478,19615
2003,Arizona,1991931,4689,1577374,209215
2003,Arkansas,955188,7573,925794,38500
2003,California,18699434,52387,11496248,562176
2003,Colorado,887647,5784,1133966,8013
2003,Connecticut,2041237,10348,911955,63071
2003,Delaware,419150,2073,265594,15008
2003,District of Columbia,184199,2789,41363,1516
2003,Florida,8564237,46713,5915175,392420
2003,Georgia,4191745,19611,3518944,118671
2003,Hawaii,525277,4840,372793,22394
2003,Idaho,554102,3696,743322,43951
2003,Illinois,5768554,17914,3463546,261038
2003,Indiana,3251509,30316,2457523,144310
2003,Iowa,1883135,8350,1477430,140000
2003,Kansas,834052,3874,1476534,56356
2003,Kentucky,1959127,13986,1415766,50932
2003,Louisiana,1997248,20961,1695352,57275
2003,Maine,618647,2985,430025,34923
2003,Maryland,2478873,12000,1385737,63994
2003,Massachusetts,3614519,12001,1852874,130355
2003,Michigan,4804822,26528,3708975,215698
2003,Minnesota,2501883,16182,2007075,174706
2003,Mississippi,1138561,9238,803200,26998
2003,Missouri,2600169,11216,1848487,73828
2003,Montana,436686,2661,571140,66017
2003,Nebraska,855407,6365,815431,27233
2003,Nevada,623886,1823,596159,37206
2003,New Hampshire,655831,1836,487296,59692
2003,New Jersey,4448660,22848,2240093,140383
2003,New Mexico,693542,3401,812407,32544
2003,New York,8313058,60991,2427652,150756
2003,North Carolina,3653665,31920,2433059,95598
2003,North Dakota,345504,2398,346339,19154
2003,Ohio,6518579,40514,3977279,286378
2003,Oklahoma,1622782,17500,1433425,72705
2003,Oregon,1545076,14529,1501181,75149
2003,Pennsylvania,6120710,36908,3566835,268990
2003,Rhode Island,548568,1713,255459,24589
2003,South Carolina,1914753,17099,1230042,57177
2003,South Dakota,387897,2726,436321,37549
2003,Tennessee,2782246,17724,1995706,93814
2003,Texas,7841637,84260,6962883,261553
2003,Utah,1013762,1279,991382,38131
2003,Vermont,271819,2130,242122,26332
2003,Virginia,4043727,18080,2284202,73692
2003,Washington,2968936,9820,2400135,141945
2003,West Virginia,756405,2955,649440,19291
2003,Wisconsin,2577697,14830,2054623,240519
2003,Wyoming,231895,2916,385053,27816
2004,Alabama,1693741,9088,2804922,81086
2004,Alaska,255068,2440,402473,21134
2004,Arizona,2055202,4787,1716125,209048
2004,Arkansas,960085,7662,949756,43668
2004,California,19255690,53643,12090263,626529
2004,Colorado,894582,5822,1122888,8411
2004,Connecticut,2047031,10410,984151,64754
2004,Delaware,422755,2101,286183,17485
2004,District of Columbia,189230,2897,46675,1601
2004,Florida,8440792,47337,6569344,461935
2004,Georgia,4222236,20171,3639958,129439
2004,Hawaii,539845,5268,402299,23106
2004,Idaho,574825,3801,765498,49578
2004,Illinois,5652494,17944,3561103,276122
2004,Indiana,3067260,31344,2426148,153566
2004,Iowa,1882364,8357,1478710,140000
2004,Kansas,852648,3889,1489985,61678
2004,Kentucky,1881213,14188,1423633,53478
2004,Louisiana,1973399,21889,1771505,55846
2004,Maine,608700,3306,456058,38712
2004,Maryland,2547973,11860,1559831,72844
2004,Massachusetts,3504943,11400,1939924,136887
2004,Michigan,4680729,26173,3691719,228856
2004,Minnesota,2502190,16947,2074212,188903
2004,Mississippi,1123242,9320,831926,27162
2004,Missouri,2698085,11514,2102497,77519
2004,Montana,433160,2597,572944,47967
2004,Nebraska,842363,6489,840220,28671
2004,Nevada,642818,1901,636705,44823
2004,New Hampshire,672560,1894,503858,66319
2004,New Jersey,4016485,23239,2184532,149911
2004,New Mexico,695825,3533,843606,36294
2004,New York,8548783,64151,2485851,170148
2004,North Carolina,3657863,32815,2507792,100366
2004,North Dakota,347009,2645,351228,20953
2004,Ohio,6452386,41936,4141968,298652
2004,Oklahoma,1634376,17958,1498655,84651
2004,Oregon,1475253,15582,1512392,75453
2004,Pennsylvania,6000676,37396,3783195,292196
2004,Rhode Island,531872,1726,274397,26506
2004,South Carolina,1922964,17100,1317008,60029
2004,South Dakota,395975,2757,442435,41602
2004,Tennessee,2889051,18431,2127180,108659
2004,Texas,8735544,86753,8084417,286992
2004,Utah,1036674,1289,1046461,44386
2004,Vermont,280158,2057,240997,28304
2004,Virginia,4091334,18199,2387893,75457
2004,Washington,3034253,11049,2489934,160227
2004,West Virginia,740834,2877,652709,19534
2004,Wisconsin,2591731,14366,2098972,232808
2004,Wyoming,234382,2976,403556,30615
2005,Alabama,1761909,9073,2773536,93468
2005,Alaska,249560,2273,420933,22230
2005,Arizona,2120631,4888,1845996,98703
2005,Arkansas,951430,7855,980248,50100
2005,California,19638969,55023,12793485,675336
2005,Colorado,859018,5829,943032,117159
2005,Connecticut,2028005,10396,1020152,65110
2005,Delaware,427740,2158,306644,18987
2005,District of Columbia,185059,3021,49201,1191
2005,Florida,8311702,48164,7331572,516126
2005,Georgia,4208585,20752,3833501,142010
2005,Hawaii,517817,5269,424462,24667
2005,Idaho,583274,3775,787007,56607
2005,Illinois,5704638,17519,3736095,291089
2005,Indiana,2694941,31974,2228561,147544
2005,Iowa,1841522,8365,1547717,146362
2005,Kansas,865196,3899,1499020,66810
2005,Kentucky,1914028,14229,1499461,56152
2005,Louisiana,1960105,21342,1837751,55071
2005,Maine,588851,3258,482786,40477
2005,Maryland,2596879,12064,1712870,76230
2005,Massachusetts,3367754,11721,2040731,139796
2005,Michigan,4753156,26187,3468104,264533
2005,Minnesota,2505986,17412,2123525,201134
2005,Mississippi,1118672,9418,850021,27318
2005,Missouri,2539266,11295,2038795,81396
2005,Montana,433181,2598,573151,47967
2005,Nebraska,836387,6655,859748,31610
2005,Nevada,673083,1845,674385,50648
2005,New Hampshire,652343,1914,520123,68879
2005,New Jersey,3957193,23258,2281050,158889
2005,New Mexico,686258,3440,858673,37663
2005,New York,8973047,67259,2822198,190635
2005,North Carolina,3583762,33315,2531239,105376
2005,North Dakota,341469,2580,351176,23151
2005,Ohio,6362255,42997,4228831,308811
2005,Oklahoma,1932704,18394,1774181,82350
2005,Oregon,1392768,16054,1488563,72703
2005,Pennsylvania,5888278,37678,3937829,305837
2005,Rhode Island,516728,1716,293166,28644
2005,South Carolina,1933281,17581,1388594,63022
2005,South Dakota,384673,2507,466368,46409
2005,Tennessee,2832604,19176,2128230,122087
2005,Texas,8911818,89557,8468172,331213
2005,Utah,1090043,1299,1118491,48484
2005,Vermont,269324,1674,236708,22467
2005,Virginia,4066886,18120,2506491,77854
2005,Washington,3061330,10496,2526620,172200
2005,West Virginia,699765,2803,649178,17702
2005,Wisconsin,2562357,13947,2149121,303439
2005,Wyoming,231853,3031,411346,33500
2006,Alabama,1795596,9082,2825636,104075
2006,Alaska,242487,2706,429901,24122
2006,Arizona,2189979,4961,1987392,114443
2006,Arkansas,958640,8201,1027414,58694
2006,California,19835554,56814,13289690,726095
2006,Colorado,858967,5829,943027,117159
2006,Connecticut,1999809,10492,1041651,64959
2006,Delaware,432509,2167,378512,22788
2006,District of Columbia,168916,2889,47300,1367
2006,Florida,7425148,48929,8899488,588962
2006,Georgia,4141179,21343,4123932,142276
2006,Hawaii,538581,5671,464288,31317
2006,Idaho,541487,3767,729861,50514
2006,Illinois,5947468,18036,3910742,293078
2006,Indiana,2694901,31974,2228559,147544
2006,Iowa,1744519,8429,1593003,161133
2006,Kansas,872878,3918,1512396,72078
2006,Kentucky,1969142,14249,1574731,58959
2006,Louisiana,1950372,22102,1900270,61128
2006,Maine,581797,3399,486680,45488
2006,Maryland,2656597,12155,1819645,72625
2006,Massachusetts,3310725,11207,2063283,143853
2006,Michigan,4765547,26248,3362440,248002
2006,Minnesota,2512491,17610,2174813,215664
2006,Mississippi,1118200,9521,869860,27553
2006,Missouri,2715297,11485,2230390,85466
2006,Montana,447446,2503,616613,85874
2006,Nebraska,832511,6995,893627,36966
